FILE NUMBER,FIELD,TYPE,GLOBAL REFERENCE,SET,KILL,Valid,Set,Read,Kill,Comments
51,0.01,MUMPS,"^PS(51,""AI"",","I $P(^PS(51,DA,0),""^"",4) S ^PS(51,""AI"",X,DA)=""""","I $P(^PS(51,DA,0),""^"",4) K ^PS(51,""AI"",X,DA)",1,,,,
51,0.01,MUMPS,"^PS(51,""A"",","S X1=^PS(51,DA,0),%=$P(X1,""^"",1) I %'="""" S ^PS(51,""A"",%)=$P(X1,""^"",2)_""^""_$S($D(^PS(51,DA,9)):^(9),1:"""")","K ^PS(51,""A"",X)",1,,,,
51,0.5,MUMPS,"^PS(51,""B"",","S:'$D(^PS(51,""B"",$E(X,1,9),DA)) ^(DA)=1","I $D(^PS(51,""B"",$E(X,1,9),DA)),^(DA) K ^(DA)",1,,,,
51,0.5,MUMPS,"^PS(51,""A"",","S X1=^PS(51,DA,0) I X'="""" S ^PS(51,""A"",X)=$P(X1,""^"",2)_""^""_$S($D(^PS(51,DA,9)):^(9),1:"""")","K ^PS(51,""A"",X)",1,,,,
51,1,MUMPS,"^PS(51,""A"",","S X1=^PS(51,DA,0),%=$P(X1,""^"",1) I %'="""" S ^PS(51,""A"",%)=$P(X1,""^"",2)_""^""_$S($D(^PS(51,DA,9)):^(9),1:"""")","S X1=^PS(51,DA,0),%=$P(X1,""^"",1) I %'="""" K ^PS(51,""A"",%)",1,,,,
51,9,MUMPS,"^PS(51,""A"",","S X1=^PS(51,DA,0),%=$P(X1,""^"",1) I %'="""" S ^PS(51,""A"",%)=$P(X1,""^"",2)_""^""_$S($D(^PS(51,DA,9)):^(9),1:"""")","S X1=^PS(51,DA,0),%=$P(X1,""^"",1) I %'="""" K ^PS(51,""A"",%)",1,,,,
51,30,MUMPS,"^PS(51,""AI"",","I X S ^PS(51,""AI"",$P(^PS(51,DA,0),""^""),DA)=""""","I X K ^PS(51,""AI"",$P(^PS(51,DA,0),""^""),DA)",1,,,,
51.1,0.01,MUMPS,"^PS(51.1,""AUWD"",","S ^PS(51.1,""AUWD"")=$S($D(^PS(59.7,1,20)):$P(^(20),""^""),1:"""")",,1,,,,
51.1,0.01,MUMPS,"^PS(51.1,""AC"",","I $D(^PS(51.1,DA,0)),$P(^(0),""^"",4)]"""" S ^PS(51.1,""AC"",$P(^(0),""^"",4),X,DA)=""""","I $D(^PS(51.1,DA,0)),$P(^(0),""^"",4)]"""" K ^PS(51.1,""AC"",$P(^(0),""^"",4),X,DA)",1,,,,
51.1,0.01,MUMPS,"^PS(51.1,""AP"",","I $D(^PS(51.1,DA,0)),$P(^(0),""^"",4)]"""" S ^PS(51.1,""AP""_$P(^(0),""^"",4),X,DA)=""""","I $D(^PS(51.1,DA,0)),$P(^(0),""^"",4)]"""" K ^PS(51.1,""AP""_$P(^(0),""^"",4),X,DA)",1,,,,
51.1,4,MUMPS,"^PS(51.1,""AC"",","I $D(^PS(51.1,DA,0)),$P(^(0),""^"")]"""" S ^PS(51.1,""AC"",X,$P(^(0),""^""),DA)=""""","I $D(^PS(51.1,DA,0)),$P(^(0),""^"")]"""" K ^PS(51.1,""AC"",X,$P(^(0),""^""),DA)",1,,,,
51.1,4,MUMPS,"^PS(51.1,""AP""_value,","S ^PS(51.1,""AP""_X,$P(^PS(51.1,DA,0),""^""),DA)=""""","K ^PS(51.1,""AP""_X,$P(^PS(51.1,DA,0),""^""),DA)",1,,,,
51.15,0.01,MUMPS,"^PS(51.15,""AC"",","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" S ^PS(51.15,""AC"",$P(^(0),""^"",4),X,DA)=""""","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" K ^PS(51.15,""AC"",$P(^(0),""^"",4),X,DA)",1,,,,
51.15,0.01,MUMPS,"^PS(51.1,""AP""_value,","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" S ^PS(51.15,""AP""_$P(^(0),""^"",4),X,DA)=""""","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" K ^PS(51.15,""AP""_$P(^(0),""^"",4),X,DA)",1,,,,
51.15,1,MUMPS,"^PS(51.15,""ACP"",","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" S ^PS(51.15,""ACP"",$P(^(0),""^"",4),X,DA)=""""","I $D(^PS(51.15,DA,0)),$P(^(0),""^"",4)]"""" K ^PS(51.15,""ACP"",$P(^(0),""^"",4),X,DA)",1,,,,
51.15,4,MUMPS,"^PS(51.1,""AC"",","I $D(^PS(51.15,DA,0)),$P(^(0),""^"")]"""" S ^PS(51.15,""AC"",X,$P(^(0),""^""),DA)=""""","I $D(^PS(51.15,DA,0)),$P(^(0),""^"")]"""" K ^PS(51.15,""AC"",X,$P(^(0),""^""),DA)",1,,,,
51.15,4,MUMPS,"^PS(51.1,""AP""_value,","I $D(^PS(51.15,DA,0)),$P(^(0),""^"")]"""" S ^PS(51.15,""AP""_X,$P(^(0),""^""),DA)=""""","I $D(^PS(51.15,DA,0)),$P(^(0),""^"")]"""" K ^PS(51.15,""AP""_X,$P(^(0),""^""),DA)",1,,,,
51.2,0.01,MUMPS,"^PS(51.2,""AUDC"",","I '$D(PSGINITF) S ^PS(51.2,""AUDC"")=$S($D(^PS(59.7,1,20)):$P(^(20),""^""),1:"""")",,1,,,,
52,6,MUMPS,"^PSRX(""ADL"",","I X,$P(^PSRX(DA,2),""^"",2) S ^PSRX(""ADL"",$P(^PSRX(DA,2),""^"",2),X,DA)=""""","I X,$P(^PSRX(DA,2),""^"",2) K ^PSRX(""ADL"",$P(^PSRX(DA,2),""^"",2),X,DA)",1,,,,
52,6,MUMPS,,"S:'$D(PSOPAR) PSOPAR=$S($D(^PS(59,$O(^PS(59,0)),1)):^(1),1:"""") S P(7)=$P(^PSRX(DA,0),U,8),P(5)=$P(^PSRX(DA,0),U,6),P(2)=$P(^(0),U,3) D MAX^PSOHELP K P(2),P(7),P(5) S:$P(^PSRX(DA,0),U,9)="""" $P(^(0),U,9)=MAX K MIN,MAX,REF",,1,,,,"Direct setting of data in routine, WRITEs and"
52,20,MUMPS,"^PS(52.5,""AS"",
^PS(52.5,""APR"",",D SAS^PSOSUTL,D KAS^PSOSUTL,1,,,,
52,22,MUMPS,"^PSRX(""AD"",","S ^PSRX(""AD"",X,DA,0)=""""","K ^PSRX(""AD"",X,DA,0)",1,,,,
52,22,MUMPS,"^PS(52.5,""C"",
^PS(52.5,""AQ"",
^PS(52.5,""AC"",",D SUSFDS^PSOUTLA,D SUSFDK^PSOUTLA,1,,,,
52,22,MUMPS,"^PSRX(""ADL"",","I X,$P(^PSRX(DA,0),""^"",6) S ^PSRX(""ADL"",X,$P(^PSRX(DA,0),""^"",6),DA)=""""","I X,$P(^PSRX(DA,0),""^"",6) K ^PSRX(""ADL"",X,$P(^PSRX(DA,0),""^"",6),DA)",1,,,,
52,26.1,MUMPS,"^PS(55,DFN,""P"",""A"",","I $P($G(^PSRX(DA,""STA"")),""^"")=12 S ^PS(55,+$P(^PSRX(DA,0),""^"",2),""P"",""A"",X,DA)="""" K ^PS(55,+$P(^PSRX(DA,0),""^"",2),""P"",""A"",$P($G(^PSRX(DA,2)),""^"",6),DA)","S ^PS(55,$P(^PSRX(DA,0),""^"",2),""P"",""A"",$P(^PSRX(DA,2),""^"",6),DA)="""" K ^PS(55,$P(^PSRX(DA,0),""^"",2),""P"",""A"",X,DA)",1,,,,
52,31,MUMPS,"^PSRX(""AL"",","S ^PSRX(""AL"",X,DA,0)=""""","K ^PSRX(""AL"",X,DA,0)",1,,,,
52,32.1,MUMPS,"^PSRAX(""AJ"",","S ^PSRX(""AJ"",X,DA,0)=""""","K ^PSRX(""AJ"",X,DA,0)",1,,,,
52.01,3,MUMPS,"^PSRX(DA(1),4,""A"",","K:X'=0 ^PSRX(DA(1),4,""A"",$P(^PSRX(DA(1),4,DA,0),""^"",3),DA) S:X=0 ^PSRX(DA(1),4,""A"",$P(^PSRX(DA(1),4,DA,0),""^"",3),DA)=""""","K ^PSRX(DA(1),4,""A"",$P(^PSRX(DA(1),4,DA,0),""^"",3),DA)",1,,,,
52.01,3,MUMPS,"^PSRX(""AR"",","I X=1 N X S X=""PSXREF"" X ^%ZOSF(""TEST"") Q:'$T  S X=1 D AR^PSXREF",,1,,,,
52.01,3,MUMPS,"^PSRX(""AS"",","I X=0 N X S X=""PSXREF"" X ^%ZOSF(""TEST"") Q:'$T  S X=0 D AS^PSXREF","S TMP=X N X S X=""PSXREF"" X ^%ZOSF(""TEST"") Q:'$T  S X=TMP D ASKILL^PSXREF",1,,,,
52.1,0.01,MUMPS,"^PS(52.5,""C"",
^PS(52.5,""AQ"",
^PS(52.5,""AC"",",D S52^PSOUTL,D K52^PSOUTL,1,,,,
52.1,0.01,MUMPS,,D SPR^PSOUTL,D KPR^PSOUTL,1,,,,
52.1,8,MUMPS,"^PS(52.5,""AS"",
^PS(52.5,""APR"",",D SAS1^PSOSUTL,D KAS1^PSOSUTL,1,,,,
52.1,14,MUMPS,"^PSRX(""AJ"",","S ^PSRX(""AJ"",$E(X,1,30),DA(1),DA)=""""","K ^PSRX(""AJ"",$E(X,1,30),DA(1),DA)",1,,,,
52.1,17,MUMPS,"^PSRX(""AL"",","S ^PSRX(""AL"",$E(X,1,30),DA(1),DA)=""""","K ^PSRX(""AL"",$E(X,1,30),DA(1),DA)",1,,,,
52.11,6,MUMPS,"^PS(52.11,""ANAM"",","S ^PS(52.11,""ANAM"",+$P(^PS(52.11,DA,0),""^"",3),$P(^(1),""^"",3)_$P(^(1),""^"",4)_"" ""_$P(^DPT(+$P(^PS(52.11,DA,0),""^""),0),""^""),DA)=""""","K ^PS(52.11,""ANAM"",+$P(^PS(52.11,DA,0),""^"",3),$P(^(1),""^"",3)_$P(^(1),""^"",4)_"" ""_$P(^DPT(+$P(^PS(52.11,DA,0),""^""),0),""^""),DA)",1,,,,
52.11,6,MUMPS,"^PS(52.11,""ATIC"",",D ATICSET^PSOBINGO,D ATICKIL^PSOBINGO,1,,,,
52.11,7,MUMPS,"^PS(52.11,""ANAMK"",","S ^PS(52.11,""ANAMK"",DA,+$P(^PS(52.11,DA,0),""^"",3),$P(^PS(52.11,DA,0),""^""))=""""","K ^PS(52.11,""ANAMK"",DA,+$P(^PS(52.11,DA,0),""^"",3),$P(^PS(52.11,DA,0),""^""))",1,,,,
52.11,8,MUMPS,"^PS(52.11,""BA"",","S ^PS(52.11,""BA"",$E(X,1,30),DA,$P(^DPT($P(^PS(52.11,DA,0),U),0),U,9))=""""","K ^PS(52.11,""BA"",$E(X,1,30),DA,$P(^DPT($P(^PS(52.11,DA,0),U),0),U,9))",1,,,,
52.11,10,MUMPS,"^PS(52.11,""BI"",","S ^PS(52.11,""BI"",$P(^PS(52.11,DA,0),U),$P(^PS(52.11,DA,1),U,3),DA)=""""","K ^PS(52.11,""BI"",$P(^PS(52.11,DA,0),U),$P(^PS(52.11,DA,1),U,3),DA)",1,,,,
